Pitch Number,Multiple Entrepreneurs,Entrepreneur 1 Name,Entrepreneur 2 Name,Gender(s),City,State,Industry
1,False,Tiffany Krumins,,Female,Atlanta,GA,Health/Wellness
2,False,Tod Wilson,,Male,Somerset,NJ,Food and Beverage
3,False,Kevin Flannery,,Male,Cary,NC,Business Services
4,True,Nick Friedman, Omar Soliman,Male,Tampa,FL,Lifestyle/Home
5,False,Darrin Johnson,,Male,St. Paul,MN,Software/Tech
6,False,Susan Knapp,,Female,Napa Valley,CA,Food and Beverage
7,False,Mark Furigay,,Male,Chicago,IL,Children/Education
8,False,Robert Alison,,Male,Las Vegas,NV,Automotive
9,False,Craig French,,Male,Hollywood,CA,Fashion/Beauty
10,False,Mary Ellen Simonson,,Female,Gardena,CA,Lifestyle/Home
11,False,Marian Cruz,,Female,San Francisco,CA,Food and Beverage
12,False,Lori Lite,,Female,Marietta,GA,Children/Education
13,False,Brian Parks,,Male,Eugene,OR,Children/Education
14,False,Ken Bradford,,Male,Dallas,TX,Children/Education
15,True,Jeff ,Josh Cohen,Male,Livermore,CA,Media/Entertainment
16,False,Kwami Kuadey,,Male,Columbia,MD,Software/Tech
17,True,Amy Feldman ,Allison Costa,Female,Los Angeles,CA,Children/Education
18,False,Paul Watts,,Male,Portland,OR,Business Services
19,False,Gina Catroneo,,Female,Dallas,TX,Fashion/Beauty
20,False,Dan Claffey,,Male,Dayton,OH,Food and Beverage
21,True,Rodolfo ,Alexis Saccoman,Male,Miami,FL,Health/Wellness
22,False,Cactus Jack,,Male,Ames,IA,Fitness/Sports/Outdoors
23,False,Rikki Farrar,,Female,Philadelphia,PA,Business Services
24,False,Jeff Cohen,,Male,Los Angeles,CA,Food and Beverage
25,False,Irena Blok,,Female,San Francisco,CA,Health/Wellness
26,True,Heath Hall ,Brett Thompson,Male,Alexandria,VA,Food and Beverage
27,False,Jonathan Miller,,Male,Chicago,IL,Fitness/Sports/Outdoors
28,True,Buck ,Arlene Weimer,Mixed Team,Pueblo,CO,Fashion/Beauty
29,False,Kimberly Cayce,,Female,Charlotte,NC,Fashion/Beauty
30,False,David Chodosh,,Male,Manhattan,CA,Food and Beverage
31,False,Sawyer Sparks,,Male,Bloomfield,IN,Food and Beverage
32,False,Leslie Haywood,,Female,Charleston,SC,Fashion/Beauty
33,True,Dedelle Parra (now Dede Barbanti) ,Kathy Lamm,Female,Ladera Ranch,CA,Fitness/Sports/Outdoors
34,True,Todd Robbins ,David Adamovich,Male,New York,NY,Media/Entertainment
35,False,Lisa Lloyd,,Female,San Jose,CA,Pet Products
36,True,D.J. Stephan ,Sean Conway,Male,San Francisco,CA,Software/Tech
37,False,Edwin Heaven,,Male,San Francisco,CA,Fashion/Beauty
38,False,Danon Beres,,Male,Huntington Beach,CA,Fashion/Beauty
39,False,Gayla Bentley,,Female,Houston,TX,Fashion/Beauty
40,False,Dan Mackey,,Male,Sausalito,CA,Food and Beverage
41,True,Geoffrey Broderick ,Kristina Broderick,Male,Huntington,NY,Pet Products
42,True,Ray Latypov ,Jim Dimascio,Male,Binghampton,NY,Electronics
43,False,Floyd Seskin,,Male,Miami,FL,Fitness/Sports/Outdoors
44,True,Brian Duggan ,Adam McCombs,Male,Chicago,IL,Children/Education
45,False,Jeff Wolsky,,Male,Tampa,FL,Children/Education
46,True,Sandy Hyun ,Roman Pietrs,Mixed Team,New York,NY,Electronics
47,True,Marix Stone ,Nancy Tanchel,Mixed Team,Philadelphia,PA,Fitness/Sports/Outdoors
48,False,Dorene Humason,,Female,Folsom,CA,Food and Beverage
49,False,Andy Sperry,,Male,Franklin,TN,Electronics
50,True,Michael ,Babz Barnett,Mixed Team,Blacksburg,VA,Children/Education
51,True,Alfonzo Dowe, Sr.,Male,Lovejoy,GA,Fitness/Sports/Outdoors
52,True,Tim Stansbury ,Erin Whalen,Mixed Team,Austin,TX,Lifestyle/Home
53,True,Kimberly ,Matthew Foley,Mixed Team,Hawthorne,NJ,Children/Education
54,True,Anthony ,Tina Calvert,Mixed Team,Santee,CA,Lifestyle/Home
55,False,Nate Berkopec,,Male,New York,NY,Fashion/Beauty
56,False,Michael Schiavone,,Male,Mt. Joy,PA,Food and Beverage
57,False,Jill Quilln,,Female,Knoxville,TN,Fashion/Beauty
58,True,Jeff ,Annie Hughes,Mixed Team,Santa Monica,CA,Business Services
59,False,Tim Gavern,,Male,Monrovia,CA,Food and Beverage
60,False,Alan Kaufman,,Male,Boston,MA,Fashion/Beauty
61,False,Mark Burginger,,Male,Orlando,FL,Children/Education
62,True,Michele Kapustka ,Melisa Moroko,Female,Chicago,IL,Children/Education
63,False,Nicole Jones,,Female,Chicago,IL,Fashion/Beauty
64,True,Aida ,Phil Lough,Mixed Team,La Habra,CA,Green/CleanTech
65,False,Jonathan Boos,,Male,Sarasota,FL,Fashion/Beauty
66,True,Megan Reilly ,Sarah Nuse,Female,Corpus Christi,TX,Fitness/Sports/Outdoors
67,False,Shawn Davis,,Male,Nashville,TN,Food and Beverage
68,False,James Martin,,Male,The Dalles,OR,Food and Beverage
69,False,Nikki Pope,,Female,Los Angeles,CA,Children/Education
70,False,Joe Moore,,Male,New Port Richey,FL,Health/Wellness
71,False,Brian Spencer,,Male,Mission Viejo,CA,Fitness/Sports/Outdoors
72,False,Matty Sallin,,Male,San Francisco,CA,Food and Beverage
73,False,Kiersten Hathcock,,Female,Flagstaff,AZ,Lifestyle/Home
74,True,Jake, Lachland,Mixed Team,Myrtle Beach,NC,Fashion/Beauty
75,False,Stacy Erwin,,Male,Overland Park,KS,Fitness/Sports/Outdoors
76,False,James Mitchell,,Male,Kent,WA,Lifestyle/Home
77,False,Johnny Gennaro & Vinny Pastore,,Male,New York,NY,Food and Beverage
78,False,Mike Abbaticchio & Shon Lees,,Male,Parkland,FL,Fashion/Beauty
79,True,Darryl ,Randy Lenz,Mixed Team,Peachtree City,GA,Travel
80,False,Ken Howell,,Male,Hope Mills,NC,Food and Beverage
81,True,George Podd ,Rolf Schwartz,Male,Chicago,IL,Automotive
82,False,Jan Augenstein,,Female,Dayton,OH,Lifestyle/Home
83,False,Bob Kroupa,,Male,Chicago,IL,Fashion/Beauty
84,False,April Morris,,Female,Indianapolis,IN,Fashion/Beauty
85,False,Shane Pannell,,Male,Scottsdale,AZ,Lifestyle/Home
86,False,Kim Nelson,,Female,Greenville,SC,Food and Beverage
87,False,Deidrea Haysel,,Female,Townsend,MD,Fashion/Beauty
88,True,Melissa ,Ben Fossey,Mixed Team,Minnetonka,MN,Fitness/Sports/Outdoors
89,False,Chris Spencer,,Male,Houston,TX,Fitness/Sports/Outdoors
90,False,Les Cookson,,Male,Sacramento,CA,Children/Education
91,False,Andy Humphrey,,Male,Traverse City,MD,Green/CleanTech
92,True,Stuart ,David Pikoff,Male,Austin,TX,Media/Entertainment
93,False,Jeff Stroope,,Male,Ashdown,AR,Uncertain/Other
94,True,Jason Lucash ,Michael Szymczak,Male,Costa Mesa,CA,Electronics
95,False,Johnson Bailey,,Male,Broken Arrow,OK,Lifestyle/Home
96,False,Julie Goldman,,Female,Montclair,NJ,Lifestyle/Home
97,False,Aldo Orta,,Male,Burbank,IL,Fashion/Beauty
98,False,Dominique McClain Barteet,,Female,Palm Beach,FL,Fashion/Beauty
99,False,Rebecca Rescate,,Female,Morrisville,PA,Pet Products
100,False,Kim Preis,,Female,Chicago,IL,Fashion/Beauty
101,False,Alashe Nelson,,Male,Miami,FL,Media/Entertainment
102,False,Dave Mayer,,Male,Oakland,CA,Food and Beverage
103,True,Nancy Bush ,Sue Kruskopf,Female,Minneapolis,MN,Business Services
104,False,Michael Levin,,Male,Irvine,CA,Business Services
105,False,Steve Gadlin,,Male,Chicago,IL,Software/Tech
106,False,Dave Greco,,Male,Hamden,CT,Business Services
107,False,Donny McCall,,Male,Greensboro,NC,Automotive
108,False,Rick Smith,,Male,Cleveland,OH,Media/Entertainment
109,False,Megan Cummins,,Female,Austin,TX,Fashion/Beauty
110,False,Travis Perry,,Male,Dothan,AL,Media/Entertainment
111,False,Pat McCarthy,,Male,Miami,FL,Fashion/Beauty
112,False,Kyle Rainey,,Male,Emeryville,CA,Electronics
113,False,Eric Corti,,Male,Mason,OH,Food and Beverage
114,False,Shelly Ehler,,Female,Orange County,CA,Fashion/Beauty
115,False,Ivori Tennelle,,Female,Los Angeles,CA,Fashion/Beauty
116,False,Kelly Chaney,,Female,Pittsburgh,PA,Pet Products
117,True,Kevin ,Melissa Kiernan,Mixed Team,West Greenwich,RI,Lifestyle/Home
118,True,Steve Nakisher ,Shane Talbott,Male,Emeryville,CA,Food and Beverage
119,True,Maddie, Margot and Diane Bradshaw,Female,Dallas,TX,Fashion/Beauty
120,False,Amanda Schlechter,,Female,West Palm Beach,FL,Lifestyle/Home
121,False,Rick Hopper,,Male,Flower Mound,TX,Lifestyle/Home
122,False,Raven Thomas,,Female,Scottsdale,AZ,Food and Beverage
123,False,Ryan Naylor,,Male,Phoenix,AZ,Fashion/Beauty
124,False,Jared Joyce,,Male,Bozeman,MT,Lifestyle/Home
125,True,Dallas Robinson ,Mike Buonomo,Male,Orem,UT,Fashion/Beauty
126,True,Stephanie ,Daniel Rensing,Mixed Team,Rockledge,FL,Food and Beverage
127,False,Scott Jordan,,Male,Ketchum,ID,Fashion/Beauty
128,False,Lyle Schuette,,Male,Derby,KS,Lifestyle/Home
129,True,Rachel Mann ,Mackenzie Burdick,Female,San Francisco,CA,Fashion/Beauty
130,True,Kyle, KJ,Male,Clearwater,FL,Fashion/Beauty
131,False,Tony Devine,,Male,Bristol,PA,Fitness/Sports/Outdoors
132,False,Todd Colby Pliss,,Male,Los Angeles,CA,Lifestyle/Home
133,False,Stephan Aarstol,,Male,San Diego,CA,Fitness/Sports/Outdoors
134,False,Aviv Grill,,Male,Santa Monica,CA,Media/Entertainment
135,True,Nick ,Penilopee Larosa,Mixed Team,Tampa,FL,Fashion/Beauty
136,False,Gary DeJohn,,Male,Greeley,CO,Food and Beverage
137,True,Arlene Battishill ,Desiree Estrada,Female,Los Angeles,CA,Fitness/Sports/Outdoors
138,False,Nick Romero,,Male,Venice Beach,CA,Fashion/Beauty
139,True,Steve Albert, Larry Blackwell and Jason Conroy,Male,Manchester,CT,Food and Beverage
140,False,Blake St. Clair,,Male,Oxnard,CA,Pet Products
141,False,Ben Wood,,Male,Rochester,NY,Fitness/Sports/Outdoors
142,False,"Brenda ""Blondie"" Coffman",,Female,Greentown,IN,Food and Beverage
143,False,James Martin,,Male,The Dalles,OR,Food and Beverage
144,False,Mark Sullivan,,Male,San Antonio,TX,Green/CleanTech
145,True,Mark ,Hannah Lim,Mixed Team,Monrovia,CA,Children/Education
146,False,Barbara Lampugnale,,Female,West Hartford,CT,Fashion/Beauty
147,True,Paul d'Auriac ,Debbie Brooks,Mixed Team,New York,NY,Fashion/Beauty
148,True,Nicole Bilsky ,Lindsay Johnson,Female,Pittsburgh,PA,Fashion/Beauty
149,False,Fleetwood Hicks,,Male,Dallas,TX,Fitness/Sports/Outdoors
150,True,Andrew Goodrum ,Queenie Davis,Mixed Team,Atlanta,GA,Fashion/Beauty
151,False,Jim Pittman,,Male,La Mirada,CA,Travel
152,False,Scotty Olson,,Male,New York,NY,Fitness/Sports/Outdoors
153,True,Billy Blanks, Jr.,Male,Los Angeles,CA,Fitness/Sports/Outdoors
154,True,Erika Welsh ,Keeley Tillotson,Female,Portland,OR,Food and Beverage
155,True,Frank Scozzafava ,Adam DiSilvestro,Male,New York,NY,Fashion/Beauty
156,False,Tom Callahan,,Male,El Segundo,CA,Media/Entertainment
157,False,Gary Gagnon,,Male,Charlotte,NC,Fashion/Beauty
158,False,Phil Dumas,,Male,Orlando,FL,Software/Tech
159,True,Frank Campitelli ,Debrae Barensfeld,Mixed Team,Akron,OH,Fitness/Sports/Outdoors
160,False,Ryan Custer,,Male,Roanoke,TX,Food and Beverage
161,False,Jay Kriner,,Male,Denver,CO,Liquor/Alcohol
162,True,Maria Curcio ,Veronica Periongo,Female,Boston,MA,Lifestyle/Home
163,False,Derek Pacque,,Male,New York,NY,Business Services
164,False,Todd Miller,,Male,Phoenix,AZ,Fashion/Beauty
165,True,Mike Hartwick ,Sarah Ponn,Mixed Team,Manchester,NH,Fitness/Sports/Outdoors
166,False,Neal Desai,,Male,San Francisco,CA,Software/Tech
167,False,Aaron Marino,,Male,Atlanta,GA,Business Services
168,True,Abby Jordan ,Becky App,Female,Omaha,NE,Food and Beverage
169,False,Lee Dahlberg,,Male,Hollywood,FL,Fashion/Beauty
170,True,Mike Lane ,Mark Franklin,Male,Portland,OR,Health/Wellness
171,False,Tereson Dupuy,,Female,Lafayette,LA,Children/Education
172,True,Liz ,Dan Holtz,Mixed Team,Waitsfield,VT,Food and Beverage
173,True,Brian ,Kevin Fleming,Male,Kansas City,MO,Lifestyle/Home
174,True,David ,Nique Mealy,Mixed Team,Tampa,FL,Food and Beverage
175,False,Marvin Philip,,Male,Salt Lake City,UT,Lifestyle/Home
176,False,Henry Penix,,Male,Tulsa,OK,Lifestyle/Home
177,False,Aly Lessor,,Female,Los Angeles,CA,Fashion/Beauty
178,True,Brandon ,Keith Marz,Male,Los Angeles,CA,Health/Wellness
179,False,Roger Sullivan,,Male,Seattle,WA,Food and Beverage
180,False,Cheryl Rigdon,,Female,Easley,SC,Food and Beverage
181,True,Tania Patruno ,Brandon Jacobs,Mixed Team,Woodbridge,NJ,Food and Beverage
182,True,Jim Tselikis ,Sabin Lomac,Male,Los Angeles,CA,Food and Beverage
183,False,Zach Crain,,Male,Wilmington,NC,Food and Beverage
184,True,Mona Weiss ,Scott Shields,Mixed Team,Los Angeles,CA,Lifestyle/Home
185,True,Daniel Wood ,David Martschinske,Male,Camas,WA,Fitness/Sports/Outdoors
186,False,Unknown,,Male,Folcroft,PA,Lifestyle/Home
187,False,Shelton Wilder,,Male,Los Angeles,CA,Fashion/Beauty
188,True,Matt ,Meg Meyer,Mixed Team,Denver,CO,Pet Products
189,False,Ginelle Mills,,Female,Walnut Creek,CA,Children/Education
190,False,Michael Tseng,,Male,San Francisco,CA,Food and Beverage
191,False,Bruce Gaither,,Male,Los Angeles,CA,Pet Products
192,False,Drew Beaumier,,Male,Burbank,CA,Uncertain/Other
193,True,Beverly Vines-Haines ,Charlotte Clary,Female,Yelm,WA,Food and Beverage
194,False,Bill Lyons,,Male,San Francisco,CA,Software/Tech
195,False,David A. Cox,,Male,Provincetown,MA,Software/Tech
196,False,Rob Dyer,,Male,San Diego,CA,Fashion/Beauty
197,False,Jackie Courtney,,Female,Brooklyn,NY,Fashion/Beauty
198,True,David Powers ,Scott Tindel,Male,New York,NY,Fashion/Beauty
199,True,Shane Cianciolo ,Nathan Buffett,Male,Long Beach,CA,Food and Beverage
200,False,Scott Martin,,Male,Redondo Beach,CA,Lifestyle/Home
201,True,Lucinda Lent ,Juliet Boydstun,Female,Studio City,CA,Children/Education
202,True,Connor Pastoor ,Jillian Jaccard,Mixed Team,Los Angeles,CA,Fashion/Beauty
203,False,Donna McCue,,Female,East Hampton,NY,Food and Beverage
204,False,Megan Gage,,Female,Denver,CO,Children/Education
205,False,Doug Marshall,,Male,Tyler,TX,Fashion/Beauty
206,False,Dan Rothweil,,Male,Poway,CA,Food and Beverage
207,True,Brant Myers ,Dan Grimm,Male,San Luis Obispo,CA,Lifestyle/Home
208,True,Dave Jackson ,Dave Petrillo,Male,Pennington,NJ,Food and Beverage
209,False,Nicole Townend,,Female,San Francisco,CA,Children/Education
210,True,Jared Aller ,Beau Oyler,Male,Oakland,CA,Lifestyle/Home
211,True,Jerry ,Naomi Hancock,Mixed Team,Provo,UT,Food and Beverage
212,False,Rabbi Moshe Weiss,,Male,St. Paul,MN,Electronics
213,True,Susie ,Steve Taylor,Mixed Team,Miami,FL,Children/Education
214,False,Mike Robinson,,Male,Los Angeles,CA,Children/Education
215,True,Lena Phoenix ,Steven Sashen,Mixed Team,Boulder,CO,Fitness/Sports/Outdoors
216,True,Rebecca Rescate ,Chris Hindley,Mixed Team,Florence,NJ,Lifestyle/Home
217,True,Matt Canepa ,Pat Pezet,Male,San Francisco,CA,Food and Beverage
218,False,Jennie Nigrosh,,Female,North Hollywood,CA,Fashion/Beauty
219,True,Scott Duff ,Carlos Ortiz,Male,Austin,TX,Food and Beverage
220,False,Unknown,,Mixed Team,Londonderry,NJ,Automotive
221,True,Peter ,Yuen Yung,Male,Austin,TX,Food and Beverage
222,False,Carmen Lindner,,Female,Los Angeles,CA,Food and Beverage
223,False,Bea Arthur,,Female,New York,NY,Health/Wellness
224,True,Brooke Bryant ,Brittany Hayes,Female,Loganville,GA,Children/Education
225,True,Megan Jackson Carreker ,Aimee Miller,Female,Austin,TX,Fashion/Beauty
226,True,Taylor, Brooks and Tanner Dame,Male,Boise,ID,Fashion/Beauty
227,True,Steve Maloney ,Steven Kirkpatrick,Male,Madison,MS,Fitness/Sports/Outdoors
228,False,Jessica Haynes,,Female,Magnolia,AR,Fashion/Beauty
229,True,Peter Ferreira, Dennis Iannotti and Neil Cameron,Male,Pawtucket,RI,Food and Beverage
230,True,Nick Gonzales ,Kevin Mack,Male,Westminster,CO,Health/Wellness
231,False,Romy Taormina,,Female,Pacific Grove,CA,Health/Wellness
232,False,Byron Young,,Male,Gainesville,FL,Lifestyle/Home
233,False,"Ryan ""Cowboy"" Ehmann",,Male,Loveland,CO,Fitness/Sports/Outdoors
234,True,Heather Murphy-Monteith ,Andy Hurwitz,Mixed Team,Portland,OR,Children/Education
235,True,David Artuso ,Mike Kane,Male,Pittsburgh,PA,Electronics
236,False,Jeffrey Miller,,Male,Green Cove Springs,FL,Lifestyle/Home
237,False,Lani Lazzari,,Female,Pittsburgh,PA,Fashion/Beauty
238,True,Marc Newburger ,Jeffrey Simon,Male,Los Angeles,CA,Automotive
239,True,Gary Groomes ,Dave Johnson,Male,Minneapolis,MN,Food and Beverage
240,False,Rusty Allen,,Male,San Diego,CA,Travel
241,True,Taylor Gwiazdon ,Jayson Sandberg,Male,Las Vegas,NV,Food and Beverage
242,False,Colin Grussing,,Male,New Orleans,LA,Fashion/Beauty
243,False,Dave Alwan,,Male,Bartonville,IL,Food and Beverage
244,True,Tracey Noonan ,Danielle Desroches,Female,Cohasset,MA,Food and Beverage
245,False,Nate Holzapfel,,Male,Orem,UT,Fashion/Beauty
246,True,Jeff Stafford ,Dusty Holloway,Male,Oviedo,FL,Fitness/Sports/Outdoors
247,False,Aaron Lemieux,,Male,Cleveland,OH,Green/CleanTech
248,False,Carol Foster,,Female,Inglewood,CA,Food and Beverage
249,True,Samantha Meis ,Conor Riley,Mixed Team,Phoenix,AZ,Food and Beverage
250,False,David Glickman,,Male,Burlington,VT,Lifestyle/Home
251,False,Michael J. Desanti,,Male,Hawley,PA,Pet Products
252,True,Tom Kanemoto ,Lance Yabut,Male,Los Angeles,CA,Media/Entertainment
253,False,Mary Beth Lugo,,Female,Virginia Beach,VA,Fitness/Sports/Outdoors
254,True,Erica Cohen ,Lori Barbera,Female,Jacksonville,FL,Food and Beverage
255,True,James Lavitola ,Brian Pitt,Male,Los Angeles,CA,Media/Entertainment
256,True,Paige Dellavalle ,Ashley Jung,Female,Hillsborough,NJ,Fashion/Beauty
257,False,Robert Gifford,,Male,Everett,WA,Fashion/Beauty
258,False,Brian Altomare,,Male,New York,NY,Travel
259,False,J. Jones,,Male,Denver,CO,Food and Beverage
260,True,Ryan ,Daniella Kelly,Male,Norwalk,CT,Pet Products
261,True,Ryan Frankel ,Kunal Sarda,Male,New York,NY,Business Services
262,True,Tru Quakenbush ,Cory War,Male,Cincinnati,OH,Food and Beverage
263,False,Val Brennan,,Female,Los Angeles,CA,Software/Tech
264,False,Unknown,,Male,Dallas,TX,Food and Beverage
265,False,Unknown,,Male,Los Angeles,CA,Software/Tech
266,False,Unknown,,Female,Tacoma,WA,Food and Beverage
267,True,Richard ,Albert Amini,Male,Tucson,AZ,Health/Wellness
268,False,Amber Lee Forrester,,Female,New York,NY,Pet Products
269,False,Charles Michael Yim,,Male,Burlingame,CA,Health/Wellness
270,True,Lakesha Brown-Renfro, Tanecia Willis and Nzinga Teule-Hekima,Female,Hampton,VA,Food and Beverage
271,False,Jim O'Brien,,Male,Waterford,MI,Uncertain/Other
272,False,Erick Jansen,,Male,Austin,TX,Travel
273,False,Chris Johnson,,Male,Sacramento,CA,Food and Beverage
274,False,Debbie Glickman,,Female,Highland Park,IL,Children/Education
275,True,Juli Deveau ,Ozma Khan,Female,Los Angeles,CA,Food and Beverage
276,False,Unknown,,Mixed Team,Long Island,NY,Lifestyle/Home
277,False,Unknown,,Male,Huntington Beach,CA,Fitness/Sports/Outdoors
278,False,Unknown,,Male,San Diego,CA,Lifestyle/Home
279,False,Garrett Gee,,Male,San Francisco,CA,Software/Tech
280,True,Teresa ,Robert Fraijo,Mixed Team,Upland,CA,Food and Beverage
281,True,Amber Schaub ,Mark Schaub,Mixed Team,Grapevine,TX,Fashion/Beauty
282,True,Edna Ma, M.D.,Female,Beverly Hills,CA,Lifestyle/Home
283,True,Mike ,Jan Canaday,Male,San Francisco,CA,Pet Products
284,False,Unknown,,Mixed Team,Piscataway,NJ,Business Services
285,False,Melissa Carbone,,Female,Sherman Oaks,CA,Media/Entertainment
286,False,Unknown,,Male,Pleasant Grove,UT,Lifestyle/Home
287,False,Unknown,,Mixed Team,McKinney,TX,Uncertain/Other
288,False,Unknown,,Male,New York,NY,Lifestyle/Home
289,False,John (Johnny) G. Georges,,Male,Arcadia,FL,Green/CleanTech
290,True,Tim Barklage ,Kevin Tibbs,Male,St. Louis,MO,Green/CleanTech
291,False,Unknown,,Male,Los Angeles,CA,Fitness/Sports/Outdoors
292,False,James Ambler,,Male,New York,NY,Lifestyle/Home
293,False,Sarah Schulz,,Female,San Francisco,CA,Food and Beverage
294,False,Unknown,,Male,Los Angeles,CA,Health/Wellness
295,False,Unknown,,Male,Ventura,CA,Pet Products
296,False,Unknown,,Female,Washington,DC,Children/Education
297,False,Unknown,,Female,Cramerton,NC,Food and Beverage
298,False,Unknown,,Male,Santa Monica,CA,Lifestyle/Home
299,False,Unknown,,Male,Detroit,MI,Software/Tech
300,True,Rick ,Melissa Hinnant,Mixed Team,Austin,TX,Fashion/Beauty
301,True,Cyndi Pedrazzi, Paul Pedrazzi,Mixed Team,San Ramon,CA,Children/Education
302,True,Kelley Coughlan ,Jenn Deese,Female,Los Angeles,CA,Fashion/Beauty
303,False,Unknown,,Male,Long Island City,NY,Food and Beverage
304,True,Al Bubba Baker ,Brittani Bo Baker,Mixed Team,Avon,OH,Food and Beverage
305,False,Unknown,,Mixed Team,Los Angeles,CA,Fashion/Beauty
306,False,Unknown,,Female,New York,NY,Fitness/Sports/Outdoors
307,False,Unknown,,Male,Houston,TX,Electronics
308,False,Unknown,,Male,San Diego,CA,Fashion/Beauty
309,False,Morri Chowaiki,,Male,San Diego,CA,Lifestyle/Home
310,True,Rachel ,Melissa,Female,Beverly Hills,CA,Fashion/Beauty
311,False,Unknown,,Male,Lubbock,TX,Lifestyle/Home
312,True,Julie Whiteman ,Brian Whiteman,Mixed Team,Los Angeles,CA,Software/Tech
313,False,Jim Lewis,,Male,Wilmington,DE,Lifestyle/Home
314,False,Thomas Hill,,Male,Scottsdale,AZ,Children/Education
315,False,Unknown,,Male,Washington,DC,Software/Tech
316,True,Greg Cronin ,Stephen Coachys,Male,Clinton,MS,Children/Education
317,True,Mike Barzman ,Bryan O'Connell,Male,Los Angeles,CA,Software/Tech
318,False,Unknown,,Male,Lutz,FL,Children/Education
319,False,Lauren Padawer,,Female,Cordova,AK,Fashion/Beauty
320,True,Betsy Johnson ,Barry Wanless,Mixed Team,Kansas City,KS,Children/Education
321,False,Susan Petersen,,Female,Provo,UT,Children/Education
322,False,Phil Black,,Male,San Diego,CA,Fitness/Sports/Outdoors
323,False,Unknown,,Male,Salt Lake City,UT,Health/Wellness
324,False,Unknown,,Female,Normal,IL,Food and Beverage
325,False,Unknown,,Male,Atlanta,GA,Software/Tech
326,False,Terry Jones,,Male,Austin,TX,Fitness/Sports/Outdoors
327,False,Unknown,,Mixed Team,Los Angeles,CA,Food and Beverage
328,False,Jason Hanson,,Male,Cedar City,UT,Children/Education
329,False,Erica Barrett,,Female,Atlanta,GA,Food and Beverage
330,False,Diamond Dallas Page,,Male,Atlanta,GA,Fitness/Sports/Outdoors
331,False,Unknown,,Male,Portland,OR,Food and Beverage
332,False,Unknown,,Mixed Team,Los Angeles,CA,Lifestyle/Home
